ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-4295866806,Engie SA,92%,Excellent,1,163,,,engie,,,,,,
OK,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,1,164,,,engie alliance gie,,,,,,
OK,https://permid.org/1-4295866806,Engie SA,92%,Excellent,1,165,,,engie,,,,,,
OK,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,1,166,,,eni finance international,,,,,,
OK,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,1,167,,,eni,,,,,,
OK,https://permid.org/1-5060518123,Enodia Holding Srl,33%,Possible,1,168,,,enodia,,,,,,
OK,,,,No Match,,169,,,eon intl finance,,,,,,
OK,,,,No Match,,170,,,eon,,,,,,
OK,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,73%,Good,1,171,,,erdol lagergesellschaft,,,,,,
OK,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,1,172,,,erg,,,,,,
OK,https://permid.org/1-5044197201,ESB Financial Enterprises Ltd,92%,Excellent,1,173,,,esb finance,,,,,,
OK,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,1,174,,,esselunga,,,,,,
OK,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,1,175,,,essilor international,,,,,,
OK,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,1,176,,,essilorluxottica,,,,,,
OK,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,1,177,,,eurofins scientific,,,,,,
OK,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,1,178,,,eurogrid,,,,,,
OK,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,1,179,,,euronext,,,,,,
OK,https://permid.org/1-4298244950,Eustream as,92%,Excellent,1,180,,,eustream,,,,,,
OK,https://permid.org/1-4295866983,Eutelsat Communications SA,38%,Possible,1,181,,,eutelsat,,,,,,
OK,https://permid.org/1-4295859045,EVN AG,92%,Excellent,1,182,,,evn,,,,,,
OK,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,1,183,,,evonik finance,,,,,,
OK,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,1,184,,,evonik industries,,,,,,
OK,https://permid.org/1-4295869127,EWE AG,92%,Excellent,1,185,,,ewe,,,,,,
OK,https://permid.org/1-5052536757,Exor NV,19%,Possible,1,186,,,exor,,,,,,
OK,https://permid.org/1-5038048731,Ferrovial Emisiones SA,78%,Good,1,187,,,ferrovial emisiones,,,,,,
OK,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,92%,Excellent,1,188,,,ferrovie dello stato italiane,,,,,,
OK,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,63%,Good,1,189,,,ferrovie dello stato ital,,,,,,
OK,,,,No Match,,190,,,fiat chrysler automobile,,,,,,
OK,https://permid.org/1-4296543266,Fingrid Oyj,92%,Excellent,1,191,,,fingrid,,,,,,
OK,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,73%,Good,1,192,,,firmenich productions participations,,,,,,
OK,https://permid.org/1-4297633980,Fluvius System Operator CVBA,45%,Possible,1,193,,,fluvius system operator,,,,,,
