ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-4298361219,DNA Oyj,92%,Excellent,1,142,,,dna oyj,,,,,,
OK,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92%,Excellent,1,143,,,dsv panalpina finance bv,,,,,,
OK,,,,No Match,,144,,,dummy issuer  bond missing in eadb,,,,,,
OK,,,,No Match,,145,,,dummy issuer  bond received in agency sl,,,,,,
OK,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,1,146,,,eandis,,,,,,
OK,,,,No Match,,147,,,eandis cvba,,,,,,
OK,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,1,148,,,easyjet finco bv,,,,,,
OK,https://permid.org/1-5071074208,Eaton Capital Global Holdings Unlimited Co,40%,Possible,1,149,,,eaton capital unlimited co,,,,,,
OK,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,1,150,,,edenred sa,,,,,,
OK,https://permid.org/1-4295875687,Edison SpA,92%,Excellent,1,151,,,edison spa,,,,,,
OK,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,1,152,,,edp  energias de portugal sa,,,,,,
OK,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,1,153,,,edp finance bv,,,,,,
OK,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,1,154,,,eesti energia as,,,,,,
OK,,,,No Match,,155,,,el corte ingle sa,,,,,,
OK,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,1,156,,,electricite de france edf,,,,,,
OK,https://permid.org/1-4298221301,Elering AS,92%,Excellent,1,157,,,elering as,,,,,,
OK,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,1,158,,,elia group sa,,,,,,
OK,,,,No Match,,159,,,elia system operator nv,,,,,,
OK,,,,No Match,,160,,,elia system operator sanv,,,,,,
OK,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,1,161,,,elia transmission belgium,,,,,,
OK,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,1,162,,,elisa oyj,,,,,,
OK,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92%,Excellent,1,163,,,enagas financiaciones sau,,,,,,
OK,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,1,164,,,enbw international finance bv,,,,,,
OK,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,1,165,,,enel  spa,,,,,,
OK,https://permid.org/1-5001426741,ENEL Finance International NV,92%,Excellent,1,166,,,enel finance intl nv,,,,,,
OK,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,1,167,,,enel spa,,,,,,
OK,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,1,168,,,energie ag oberosterreich,,,,,,
OK,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,1,169,,,enexis holding nv,,,,,,
OK,https://permid.org/1-4295866806,Engie SA,92%,Excellent,1,170,,,engie,,,,,,
OK,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,1,171,,,engie alliance gie,,,,,,
OK,https://permid.org/1-4295866806,Engie SA,92%,Excellent,1,172,,,engie sa,,,,,,
OK,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,1,173,,,eni finance international sa,,,,,,
OK,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,1,174,,,eni spa,,,,,,
OK,https://permid.org/1-4297881749,Enodia SCRL,92%,Excellent,1,175,,,enodia scrl,,,,,,
OK,,,,No Match,,176,,,eon intl finance bv,,,,,,
OK,,,,No Match,,177,,,eon se,,,,,,
OK,,,,No Match,,178,,,erdollagergesellschaft mbh,,,,,,
OK,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,1,179,,,erg spa,,,,,,
OK,https://permid.org/1-5000653057,ESB Finance DAC,92%,Excellent,1,180,,,esb finance dac,,,,,,
OK,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,1,181,,,esselunga spa,,,,,,
OK,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,1,182,,,essilor international,,,,,,
OK,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,1,183,,,essilorluxottica sa,,,,,,
OK,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,1,184,,,eurofins scientific se,,,,,,
OK,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,1,185,,,eurogrid gmbh,,,,,,
OK,https://permid.org/1-4298007967,Euronext Brussels NV,31%,Possible,1,186,,,euronext nv,,,,,,
OK,https://permid.org/1-4298244950,Eustream as,92%,Excellent,1,187,,,eustream as,,,,,,
OK,https://permid.org/1-4295866983,Eutelsat Communications SA,51%,Possible,1,188,,,eutelsat sa,,,,,,
OK,https://permid.org/1-4295859045,EVN AG,92%,Excellent,1,189,,,evn ag,,,,,,
OK,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,1,190,,,evonik finance bv,,,,,,
OK,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,1,191,,,evonik industries ag,,,,,,
OK,https://permid.org/1-4295869127,EWE AG,92%,Excellent,1,192,,,ewe ag,,,,,,
OK,https://permid.org/1-5052536757,Exor NV,92%,Excellent,1,193,,,exor nv,,,,,,
OK,https://permid.org/1-5038048731,Ferrovial Emisiones SA,92%,Excellent,1,194,,,ferrovial emisiones sa,,,,,,
OK,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,92%,Excellent,1,195,,,ferrovie dello stato italiane spa,,,,,,
OK,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,40%,Possible,1,196,,,ferrovie dello stato italspa,,,,,,
OK,https://permid.org/1-5048857469,Fiat Chrysler Automobiles NV,92%,Excellent,1,197,,,fiat chrysler automobiles nv,,,,,,
OK,https://permid.org/1-4296543266,Fingrid Oyj,92%,Excellent,1,198,,,fingrid oyj,,,,,,
OK,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,92%,Excellent,1,199,,,firmenich productions participations sas,,,,,,
OK,https://permid.org/1-4297633980,Fluvius System Operator CVBA,92%,Excellent,1,200,,,fluvius system operator cvba,,,,,,
OK,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57%,Possible,1,201,,,fonciere des regions,,,,,,
OK,https://permid.org/1-5061332739,Fonciere des Regions SA,92%,Excellent,1,202,,,fonciere des regions sa,,,,,,
OK,,,,No Match,,203,,,fortum oyj helsinki,,,,,,
OK,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,78%,Good,1,204,,,fresenius finance ireland plc,,,,,,
OK,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,83%,Good,1,205,,,fresenius medical care ag  co kgaa,,,,,,
OK,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,22%,Possible,1,206,,,fresenius medical care ag and co kgaa bad homburg,,,,,,
OK,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,78%,Good,1,207,,,fresenius se  co kgaa,,,,,,
OK,,,,No Match,,208,,,gas natural cm sa,,,,,,
OK,https://permid.org/1-4296948055,Naturgy Finance BV,92%,Excellent,1,209,,,gas natural fenosa finance bv,,,,,,
OK,https://permid.org/1-5046712558,Gas Networks Ireland,92%,Excellent,1,210,,,gas networks ireland,,,,,,
OK,https://permid.org/1-5000054357,Geberit International BV,92%,Excellent,1,211,,,geberit international bv,,,,,,
OK,https://permid.org/1-4295867555,Gecina SA,92%,Excellent,1,212,,,gecina,,,,,,
OK,,,,No Match,,213,,,gie engie alliance,,,,,,
OK,https://permid.org/1-5073623848,Givaudan Finance Europe BV,92%,Excellent,1,214,,,givaudan finance europe bv,,,,,,
OK,https://permid.org/1-5076169227,Glencore Capital Finance DAC,92%,Excellent,1,215,,,glencore capital finance dac,,,,,,
OK,https://permid.org/1-4295882975,Glencore Finance Europe SA,92%,Excellent,1,216,,,glencore finance europe sa,,,,,,
OK,https://permid.org/1-5076948433,Global Switch Finance BV,92%,Excellent,1,217,,,global switch finance bv,,,,,,
OK,https://permid.org/1-5037587520,Grand City Properties SA,92%,Excellent,1,218,,,grand city properties sa,,,,,,
OK,https://permid.org/1-5066557287,Groupe Bruxelles Lambert SA,92%,Excellent,1,219,,,groupe bruxelles lambert sa,,,,,,
OK,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,1,220,,,hannover re,,,,,,
OK,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,1,221,,,hannover rueck se,,,,,,
OK,https://permid.org/1-4295869315,Hannover Rueck SE,33%,Possible,1,222,,,hannover rueck se hanover,,,,,,
OK,https://permid.org/1-4295868961,HeidelbergCement AG,92%,Excellent,1,223,,,heidelbergcement ag,,,,,,
OK,,,,No Match,,224,,,heidelbergcement finlux sa,,,,,,
OK,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,92%,Excellent,1,225,,,heimstaden bostad treasury bv,,,,,,
OK,https://permid.org/1-4295884692,Heineken NV,92%,Excellent,1,226,,,heineken nv,,,,,,
OK,https://permid.org/1-5055943325,Hella Finance International BV,92%,Excellent,1,227,,,hella finance international bv,,,,,,
OK,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,76%,Good,1,228,,,hella gmbh  co kgaa,,,,,,
OK,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92%,Excellent,1,229,,,hella kgaa hueck,,,,,,
OK,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80%,Good,1,230,,,hella kgaa hueck  co,,,,,,
OK,https://permid.org/1-5079156209,Hemso Treasury Oyj,92%,Excellent,1,231,,,hemso treasury oyj,,,,,,
OK,https://permid.org/1-4295869260,Henkel AG & Co KGaA,75%,Good,1,232,,,henkel ag  co kgaa,,,,,,
OK,https://permid.org/1-4295869260,Henkel AG & Co KGaA,70%,Good,1,233,,,henkel ag  kgaa,,,,,,
OK,https://permid.org/1-4295875817,Hera SpA,92%,Excellent,1,234,,,hera spa,,,,,,
OK,,,,No Match,,235,,,hm finance bv,,,,,,
OK,https://permid.org/1-4295869084,Hochtief AG,92%,Excellent,1,236,,,hochtief ag,,,,,,
OK,,,,No Match,,237,,,holcim finance luxembg sa,,,,,,
OK,https://permid.org/1-4296045812,Holcim Finance Luxembourg SA,50%,Possible,1,238,,,holcim finance sa,,,,,,
OK,,,,No Match,,239,,,holcim usfinsarl  cie scs,,,,,,
OK,,,,No Match,,240,,,holcim usfinsarl  scs,,,,,,
OK,,,,No Match,,241,,,holding d infrastructures de transport,,,,,,
