Sentence ID,Company Name,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
73,autostrade per litalia spa,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,autostrade per litalia,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
74,axa sa,https://permid.org/1-4295867483,AXA SA,92%,Excellent,axa,https://permid.org/1-4295867483,AXA SA,92%,Excellent,True,Insurance,Insurance,Financials,France,France,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
75,balder finland oyj,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,balder finland,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Finland,Finland,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
76,balder finland oyj,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,balder finland,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Finland,Finland,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
77,barry callebaut services nv,https://permid.org/1-4297241934,Barry Callebaut Services NV,92%,Excellent,barry callebaut service,https://permid.org/1-5063146718,Barry Callebaut Cocoa Management Services SA de CV,43%,Possible,False,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,Producers and processors of Food & Tobacco.
78,barry callebaut services nv,https://permid.org/1-4297241934,Barry Callebaut Services NV,92%,Excellent,barry callebaut service,https://permid.org/1-5063146718,Barry Callebaut Cocoa Management Services SA de CV,43%,Possible,False,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Includes operators of farms, aquaculture and fisheries."
79,basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
80,basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,Includes bank holding companies.
81,basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Excludes providers of investment banking services, classified in Investment Banking."
82,basf se,https://permid.org/1-4295869198,BASF SE,92%,Excellent,basf,https://permid.org/1-4295869198,BASF SE,43%,Possible,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
83,bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
84,bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,Includes bank holding companies.
85,bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Excludes providers of investment banking services, classified in Investment Banking."
86,bayer ag,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,bayer,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,True,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,Germany,Germany,"Manufacturers and marketers of generic and specialty drugs, as well as researchers and developers of new drugs, medical products and procedures."
87,bayer capital corp bv,https://permid.org/1-4296954345,Bayer Capital Corporation BV,92%,Excellent,bayer capital corp,https://permid.org/1-4296432607,Bayer Capital NV,21%,Possible,False,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,Netherlands,Netherlands,"Manufacturers and marketers of generic and specialty drugs, as well as researchers and developers of new drugs, medical products and procedures."
88,befimmo sa,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,befimmo,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,Belgium,Belgium,Investment trusts that secure interests related to rights on residential and commercial real estate.
89,beni stabili spa siiq,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,beni stabili spa siiq,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Italy,Italy,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
