Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName
sanofi sa,https://permid.org/1-4295868215,Sanofi SA,92%,Excellent,sanofi,https://permid.org/1-4295868215,Sanofi SA,92%,Excellent,True
sap se,https://permid.org/1-5043321284,SAP SE,92%,Excellent,sap,https://permid.org/1-5043321284,SAP SE,92%,Excellent,True
sato oyj,https://permid.org/1-4297219925,Sato Oyj,92%,Excellent,sato,https://permid.org/1-4295879856,Sato Holdings Corp,92%,Excellent,False
sbb treasury oyj,https://permid.org/1-5076162463,SBB Treasury Oyj,92%,Excellent,sbb treasury,https://permid.org/1-5076162463,SBB Treasury Oyj,92%,Excellent,True
schaeffler ag,https://permid.org/1-5045949737,Schaeffler AG,92%,Excellent,schaeffler,https://permid.org/1-5045949737,Schaeffler AG,92%,Excellent,True
schlumberger fin france sas,https://permid.org/1-5050268693,Schlumberger Finance France SAS,92%,Excellent,schlumberger fin france,https://permid.org/1-5050268693,Schlumberger Finance France SAS,58%,Possible,True
schlumberger finance bv,https://permid.org/1-4297665422,Schlumberger Finance BV,92%,Excellent,schlumberger finance,https://permid.org/1-5050268693,Schlumberger Finance France SAS,24%,Possible,False
schneider electric sa,https://permid.org/1-4295866940,Schneider Electric SE,92%,Excellent,schneider electric,https://permid.org/1-4295866940,Schneider Electric SE,92%,Excellent,True
schneider electric se,https://permid.org/1-4295866940,Schneider Electric SE,92%,Excellent,schneider electric,https://permid.org/1-4295866940,Schneider Electric SE,92%,Excellent,True
ses sa,https://permid.org/1-4295883014,SES SA,92%,Excellent,ses,https://permid.org/1-4295883014,SES SA,18%,Possible,True
shell international finance bv,https://permid.org/1-4297475585,Shell International Finance BV,92%,Excellent,shell international finance,https://permid.org/1-4297475585,Shell International Finance BV,92%,Excellent,True
siemens financieringsmaatschappij nv,https://permid.org/1-4296784388,Siemens Financieringsmaatschappij NV,92%,Excellent,siemens financieringsmaatschappij,https://permid.org/1-4296784388,Siemens Financieringsmaatschappij NV,92%,Excellent,True
siemens finanmaatschappij nv,,,,No Match,siemens finanmaatschappij,,,,No Match,False
sig combibloc,https://permid.org/1-4295890767,SIG Combibloc Services AG,92%,Excellent,sig combibloc,https://permid.org/1-4295890767,SIG Combibloc Services AG,92%,Excellent,True
signify nv,https://permid.org/1-5050986901,Signify NV,92%,Excellent,signify,https://permid.org/1-5050986901,Signify NV,92%,Excellent,True
simon international finance,https://permid.org/1-5061333138,Simon International Finance GP SARL,11%,Possible,simon international finance,https://permid.org/1-5061333138,Simon International Finance GP SARL,11%,Possible,True
six finance luxembourg sa,https://permid.org/1-5076357523,SIX Finance Luxembourg SA,92%,Excellent,six finance luxembourg,https://permid.org/1-5076357523,SIX Finance Luxembourg SA,74%,Good,True
snam spa,https://permid.org/1-4295875615,Snam SpA,92%,Excellent,snam,https://permid.org/1-4295875615,Snam SpA,92%,Excellent,True
sncf mobilites,,,,No Match,sncf mobilite,,,,No Match,False
societe anonyme de gestion des stocks de securite sagess,https://permid.org/1-4296258481,SA De Gestion De Stocks Securite Sagess,81%,Good,societe anonyme de gestion des stocks de securite sage,,,,No Match,False
societe des autoroutes du nord et de l est de la france sanef,https://permid.org/1-5057739178,Societe des Autoroutes du Nord et de l'Est de la France {SANEF},71%,Good,societe des autoroutes du nord et de l est de la france sanef,https://permid.org/1-5057739178,Societe des Autoroutes du Nord et de l'Est de la France {SANEF},71%,Good,True
societe des autoroutes paris rhin rhone aprr,,,,No Match,societe des autoroutes paris rhin rhone aprr,,,,No Match,False
societe fonciere lyonnaise sa,https://permid.org/1-4295867475,Societe Fonciere Lyonnaise SA,92%,Excellent,societe fonciere lyonnaise,https://permid.org/1-4295867475,Societe Fonciere Lyonnaise SA,92%,Excellent,True
societe nationale sncf sa,https://permid.org/1-4295866888,Societe Nationale SNCF SA,92%,Excellent,societe nationale sncf,https://permid.org/1-4295866888,Societe Nationale SNCF SA,80%,Good,True
sodexo sa,https://permid.org/1-4295866614,Sodexo SA,92%,Excellent,sodexo,https://permid.org/1-4295866614,Sodexo SA,92%,Excellent,True
solvay sa,https://permid.org/1-4295859421,Solvay SA,92%,Excellent,solvay,https://permid.org/1-4295859421,Solvay SA,92%,Excellent,True
spp distribucia as,https://permid.org/1-5040261492,SPP Distribucia as,92%,Excellent,spp distribucia,https://permid.org/1-5040261492,SPP Distribucia as,92%,Excellent,True
spp infrastructure fing bv,,,,No Match,spp infrastructure fing,,,,No Match,False
stedin holding nv,https://permid.org/1-4296088639,Stedin Holding NV,92%,Excellent,stedin holding,https://permid.org/1-4296088639,Stedin Holding NV,92%,Excellent,True
steinhoff europe ag,https://permid.org/1-5000025511,Steinhoff Europe AG,92%,Excellent,steinhoff europe,https://permid.org/1-5000025511,Steinhoff Europe AG,66%,Good,True
stellantis nv,https://permid.org/1-5043319761,Stellantis NV,92%,Excellent,stellanti,,,,No Match,False
stg global finance bv,https://permid.org/1-5076388739,STG Global Finance BV,92%,Excellent,stg global finance,https://permid.org/1-5076388739,STG Global Finance BV,58%,Possible,True
stora enso oyj,https://permid.org/1-4295866448,Stora Enso Oyj,92%,Excellent,stora enso,https://permid.org/1-4295866448,Stora Enso Oyj,92%,Excellent,True
strabag se,https://permid.org/1-4298050903,STRABAG SE,92%,Excellent,strab,,,,No Match,False
sudzucker intl finance bv,https://permid.org/1-4296745954,Suedzucker International Finance BV,92%,Excellent,sudzucker intl finance,https://permid.org/1-4296745954,Suedzucker International Finance BV,80%,Good,True
suez,https://permid.org/1-4298165294,Suez SA,92%,Excellent,suez,https://permid.org/1-4298165294,Suez SA,92%,Excellent,True
suez sa,https://permid.org/1-4298165294,Suez SA,92%,Excellent,suez,https://permid.org/1-4298165294,Suez SA,92%,Excellent,True
swisscom finance bv,https://permid.org/1-5073962722,Swisscom Finance BV,92%,Excellent,swisscom finance,https://permid.org/1-5001186082,Swisscom Finance Ltd,92%,Excellent,False
talanx ag,https://permid.org/1-4296750143,Talanx AG,92%,Excellent,talanx,https://permid.org/1-4296750143,Talanx AG,92%,Excellent,True
telecom italia finance sa,https://permid.org/1-5000025337,Telecom Italia Finance SA,92%,Excellent,telecom italia finance,https://permid.org/1-5000025337,Telecom Italia Finance SA,92%,Excellent,True
telecom italia spa,https://permid.org/1-4295875783,Telecom Italia SpA,92%,Excellent,telecom italia,https://permid.org/1-4295875783,Telecom Italia SpA,92%,Excellent,True
telefonica emisiones sau,https://permid.org/1-4297399586,Telefonica Emisiones SAU,92%,Excellent,telefonica emisiones,https://permid.org/1-4297399586,Telefonica Emisiones SAU,92%,Excellent,True
telefonica europe bv,https://permid.org/1-4296540347,Telefonica Europe BV,92%,Excellent,telefonica europe,https://permid.org/1-5000075627,Telefonica O2 Holdings Ltd,92%,Excellent,False
telekom finanzmanagement gmbh,https://permid.org/1-4297071947,Telekom Finanzmanagement GmbH,92%,Excellent,telekom finanzmanagement,https://permid.org/1-4297071947,Telekom Finanzmanagement GmbH,92%,Excellent,True
teleperformance se,https://permid.org/1-4295866721,Teleperformance SE,92%,Excellent,teleperformance,https://permid.org/1-4295866721,Teleperformance SE,92%,Excellent,True
tennet holding bv,https://permid.org/1-5000075299,TenneT Holding BV,92%,Excellent,tennet holding,https://permid.org/1-5000075299,TenneT Holding BV,92%,Excellent,True
teollisuuden voima oyj,https://permid.org/1-4295866515,Teollisuuden Voima Oyj,92%,Excellent,teollisuuden voima,https://permid.org/1-4295866515,Teollisuuden Voima Oyj,92%,Excellent,True
terna rete elettrica naziospa,https://permid.org/1-4295875459,Terna Rete Elettrica Nazionale SpA,14%,Possible,terna rete elettrica nazio,,,,No Match,False
thales,https://permid.org/1-4295866846,Thales SA,92%,Excellent,thale,,,,No Match,False
tlg immobilien ag,https://permid.org/1-5044024092,TLG Immobilien AG,92%,Excellent,tlg immobilien,https://permid.org/1-5044024092,TLG Immobilien AG,64%,Good,True
total capital international sa,https://permid.org/1-5035956073,Total Capital International SA,92%,Excellent,total capital international,https://permid.org/1-5050919571,TCR International Ltd,25%,Possible,False
total capital sa,https://permid.org/1-4296676289,Total Capital SA,92%,Excellent,total capital,,,,No Match,False
total infrastructures gaz france,,,,No Match,total infrastructures gaz france,,,,No Match,False
traton finance luxemburg sa,https://permid.org/1-5079693909,Traton Finance Luxembourg SA,55%,Possible,traton finance luxemburg,https://permid.org/1-5079693909,Traton Finance Luxembourg SA,31%,Possible,True
tyco electronics group sa,https://permid.org/1-4297630575,Tyco Electronics Group SA,92%,Excellent,tyco electronics group,https://permid.org/1-4297630575,Tyco Electronics Group SA,92%,Excellent,True
unibail rodamco se,https://permid.org/1-4295868264,Unibail-Rodamco-Westfield SE,92%,Excellent,unibail rodamco,https://permid.org/1-4295868264,Unibail-Rodamco-Westfield SE,92%,Excellent,True
unilever finance netherlands bv,https://permid.org/1-5079208960,Unilever Finance Netherlands BV,92%,Excellent,unilever finance netherlands,https://permid.org/1-5079208960,Unilever Finance Netherlands BV,69%,Good,True
unilever nv,,,,No Match,unilever,https://permid.org/1-4295894770,Unilever PLC,56%,Possible,False
uniper se,https://permid.org/1-5051387035,Uniper SE,92%,Excellent,uniper,https://permid.org/1-5051387035,Uniper SE,92%,Excellent,True
uniqa insurance group ag,https://permid.org/1-4295858953,UNIQA Insurance Group AG,92%,Excellent,uniqa insurance group,https://permid.org/1-4295858953,UNIQA Insurance Group AG,71%,Good,True
upjohn finance bv,https://permid.org/1-5074779515,Upjohn Finance BV,92%,Excellent,upjohn finance,https://permid.org/1-5074779515,Upjohn Finance BV,92%,Excellent,True
upm kymmene oyj,https://permid.org/1-4295866353,UPM-Kymmene Oyj,92%,Excellent,upm kymmene,https://permid.org/1-4295866353,UPM-Kymmene Oyj,92%,Excellent,True
urenco finance nv,https://permid.org/1-4297245020,Urenco Finance NV,92%,Excellent,urenco finance,https://permid.org/1-5046438306,Urenco Finance UK Ltd,61%,Good,False
valeo sa,https://permid.org/1-4295867394,Valeo SE,92%,Excellent,valeo,https://permid.org/1-4295867394,Valeo SE,92%,Excellent,True
vantage towers ag,https://permid.org/1-5076167430,Vantage Towers AG,92%,Excellent,vantage towers,https://permid.org/1-5080045750,Vantage Towers AE,92%,Excellent,False
veolia environnement,https://permid.org/1-4295867473,Veolia Environnement SA,92%,Excellent,veolia environnement,https://permid.org/1-4295867473,Veolia Environnement SA,92%,Excellent,True
veolia environnement sa,https://permid.org/1-4295867473,Veolia Environnement SA,92%,Excellent,veolia environnement,https://permid.org/1-4295867473,Veolia Environnement SA,92%,Excellent,True
verbund ag,https://permid.org/1-4295859071,Verbund AG,92%,Excellent,verbund,https://permid.org/1-4295859071,Verbund AG,92%,Excellent,True
vgp nv,https://permid.org/1-4297884956,VGP NV,92%,Excellent,vgp,https://permid.org/1-4297884956,VGP NV,92%,Excellent,True
vienna insurance group ag,https://permid.org/1-4295859017,Vienna Insurance Group AG Wiener Versicherung Gruppe,69%,Good,vienna insurance group,https://permid.org/1-4295859017,Vienna Insurance Group AG Wiener Versicherung Gruppe,92%,Excellent,True
vier gas transport gmbh,https://permid.org/1-5037635945,Vier Gas Transport GmbH,92%,Excellent,vier gas transport,https://permid.org/1-5037635945,Vier Gas Transport GmbH,92%,Excellent,True
vinci,https://permid.org/1-4295867538,Vinci SA,92%,Excellent,vinci,https://permid.org/1-4295867538,Vinci SA,92%,Excellent,True
vivendi,https://permid.org/1-4295867220,Vivendi SE,92%,Excellent,vivendi,https://permid.org/1-4295867220,Vivendi SE,92%,Excellent,True
vivendi sa,,,,No Match,vivendi,https://permid.org/1-4295867220,Vivendi SE,92%,Excellent,False
volkswagen intl finance nv,https://permid.org/1-4296694478,Volkswagen International Finance NV,92%,Excellent,volkswagen intl finance,https://permid.org/1-4296694478,Volkswagen International Finance NV,59%,Possible,True
vonovia finance bv,https://permid.org/1-5040171243,Vonovia Finance BV,92%,Excellent,vonovia finance,https://permid.org/1-5040171243,Vonovia Finance BV,92%,Excellent,True
vonovia se,https://permid.org/1-5063761614,Vonovia SE,92%,Excellent,vonovia,https://permid.org/1-5063761614,Vonovia SE,92%,Excellent,True
wendel sa,https://permid.org/1-5058607005,Wendel Lab SA,42%,Possible,wendel,https://permid.org/1-4295868312,Wendel SE,92%,Excellent,False
whirlpool emea finance sarl,https://permid.org/1-5063720884,Whirlpool EMEA Finance SARL,92%,Excellent,whirlpool emea finance,https://permid.org/1-5063720884,Whirlpool EMEA Finance SARL,50%,Possible,True
whirlpool finance luxembourg sarl,https://permid.org/1-5052151291,Whirlpool Finance Luxembourg SARL,92%,Excellent,whirlpool finance luxembourg,https://permid.org/1-5052151291,Whirlpool Finance Luxembourg SARL,52%,Possible,True
wizz air finance company bv,https://permid.org/1-5076170784,Wizz Air Finance Company BV,92%,Excellent,wizz air finance company,https://permid.org/1-5076170784,Wizz Air Finance Company BV,92%,Excellent,True
wolters kluwer nv,https://permid.org/1-4295884738,Wolters Kluwer NV,92%,Excellent,wolters kluwer,https://permid.org/1-4295884738,Wolters Kluwer NV,92%,Excellent,True
worldline sa,https://permid.org/1-4296992313,Worldline SA,92%,Excellent,worldline,https://permid.org/1-4296992313,Worldline SA,92%,Excellent,True
wpc eurobond bv,https://permid.org/1-5052169705,WPC Eurobond BV,92%,Excellent,wpc eurobond,https://permid.org/1-5052169705,WPC Eurobond BV,92%,Excellent,True
wpp finance sa,https://permid.org/1-4297937496,WPP Finance SA,92%,Excellent,wpp finance,https://permid.org/1-4296994496,WPP Finance (UK),43%,Possible,False
wurth finance international bv,https://permid.org/1-4297959131,Wurth Finance International BV,92%,Excellent,wurth finance international,https://permid.org/1-4297959131,Wurth Finance International BV,92%,Excellent,True
zapadoslovenska energetika as,https://permid.org/1-5000685837,Zapadoslovenska Energetika as,92%,Excellent,zapadoslovenska energetika,https://permid.org/1-5000685837,Zapadoslovenska Energetika as,92%,Excellent,True
zf europe finance bv,https://permid.org/1-5066539297,ZF Europe Finance BV,92%,Excellent,zf europe finance,https://permid.org/1-5066539297,ZF Europe Finance BV,56%,Possible,True
zurich finance ireland dac,https://permid.org/1-5068935173,Zurich Finance (Ireland) DAC,92%,Excellent,zurich finance ireland,https://permid.org/1-5068935173,Zurich Finance (Ireland) DAC,26%,Possible,True
